name,bundleId
365Scores,com.365scores.365scroesapp
ESign,p3.xyz.yyyue.esign
Flightradar24,se.resenatverket.FlightRadar24-Free.watchkitapp
ImagineAI,com.vyro.Imagine
Instagram,com.burbn.instagram
MADFUT24,com.madfut.madfut24
Memrise,com.memrise.ios.memrisecompanion
MovieBoxPro,com.xd.mbp31
PDFExpert,com.readdle.PDFExpert5
Photoleap,com.lightricks.Enlight-Editor
Radarbot,com.iteration-mobile.radarbot-free-ww.watchkitapp
Spotify,com.spotify.client
Telegram,app.nicegram
TikTok,com.zhiliaoapp.musically
VPN,net.dreamdownloader.vpn
YouTube,com.google.ios.youtube
Picsew,com.sugarmo.ScrollClip
AlohaBrowser,com.alohabrowser.alohabrowser
Infuse,com.firecore.infuse
MuslimPro,com.bitsmedia.muslimpro
